TF_ID	Family_ID	TSource_ID	Motif_ID	MSource_ID	DBID	TF_Name	TF_Species	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	TfSource_Year	TfSource_Month	TfSource_Day
T000406_2.00	F009_2.00	TS12_2.00	M06573_2.00	MS46_2.00	AT1G12890	ERF088	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	AT1G28160_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000406_2.00	F009_2.00	TS12_2.00	M06574_2.00	MS46_2.00	AT1G12890	ERF088	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	AT1G28160_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000406_2.00	F009_2.00	TS12_2.00	M06616_2.00	MS46_2.00	AT1G12890	ERF088	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	ERF4_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000406_2.00	F009_2.00	TS12_2.00	M06617_2.00	MS46_2.00	AT1G12890	ERF088	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	ERF4_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000406_2.00	F009_2.00	TS12_2.00	M06661_2.00	MS46_2.00	AT1G12890	ERF088	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	LEP_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000406_2.00	F009_2.00	TS12_2.00	M06663_2.00	MS46_2.00	AT1G12890	ERF088	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	PUCHI_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000406_2.00	F009_2.00	TS12_2.00	M06664_2.00	MS46_2.00	AT1G12890	ERF088	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	PUCHI_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000406_2.00	F009_2.00	TS12_2.00	M06670_2.00	MS46_2.00	AT1G12890	ERF088	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	ERF9_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000406_2.00	F009_2.00	TS12_2.00	M06671_2.00	MS46_2.00	AT1G12890	ERF088	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	ERF9_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000406_2.00	F009_2.00	TS12_2.00	M09717_2.00	MS59_2.00	AT1G12890	ERF088	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	P$BD1_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M01100_2.00	MS57_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH10138	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M01606_2.00	MS64_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH8117	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M01608_2.00	MS64_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH8095	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M01616_2.00	MS64_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH8156	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M01630_2.00	MS64_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH7909	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M01643_2.00	MS64_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH9609	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M06562_2.00	MS46_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	ERF10_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M06563_2.00	MS46_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	ERF10_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M06573_2.00	MS46_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	AT1G28160_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M06574_2.00	MS46_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	AT1G28160_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M06575_2.00	MS46_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	ERF11_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M06576_2.00	MS46_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	ERF11_col_b	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M06586_2.00	MS46_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	ERF8_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M06587_2.00	MS46_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	ERF8_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M06616_2.00	MS46_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	ERF4_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M06617_2.00	MS46_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	ERF4_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M06661_2.00	MS46_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	LEP_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M06663_2.00	MS46_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	PUCHI_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M06664_2.00	MS46_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	PUCHI_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M06670_2.00	MS46_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	ERF9_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M06671_2.00	MS46_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	ERF9_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M09717_2.00	MS59_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	P$BD1_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000407_2.00	F009_2.00	TS12_2.00	M09728_2.00	MS59_2.00	AT1G12980	ESR1	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	P$ERF3_02	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000408_2.00	F009_2.00	TS12_2.00	M01603_2.00	MS64_2.00	AT1G15360	WIN1	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	pTH7566	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000409_2.00	F009_2.00	TS12_2.00	M06622_2.00	MS46_2.00	AT1G16060	ADAP	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	PLT1_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000409_2.00	F009_2.00	TS12_2.00	M06623_2.00	MS46_2.00	AT1G16060	ADAP	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	PLT1_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000409_2.00	F009_2.00	TS12_2.00	M06688_2.00	MS46_2.00	AT1G16060	ADAP	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	AIL7_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000409_2.00	F009_2.00	TS12_2.00	M06689_2.00	MS46_2.00	AT1G16060	ADAP	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	AIL7_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000410_2.00	F009_2.00	TS12_2.00	M06568_2.00	MS46_2.00	AT1G19210	ERF017	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	At1g19210_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000410_2.00	F009_2.00	TS12_2.00	M06569_2.00	MS46_2.00	AT1G19210	ERF017	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	At1g19210_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000411_2.00	F009_2.00	TS12_2.00	M06570_2.00	MS46_2.00	AT1G21910	ERF012	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	DREB26_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000412_2.00	F009_2.00	TS12_2.00	M01603_2.00	MS64_2.00	AT1G22190	RAP2-13	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH7566	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000412_2.00	F009_2.00	TS12_2.00	M01612_2.00	MS64_2.00	AT1G22190	RAP2-13	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH8092	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000412_2.00	F009_2.00	TS12_2.00	M06577_2.00	MS46_2.00	AT1G22190	RAP2-13	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	At1g36060_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000412_2.00	F009_2.00	TS12_2.00	M06578_2.00	MS46_2.00	AT1G22190	RAP2-13	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	At1g36060_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000412_2.00	F009_2.00	TS12_2.00	M06647_2.00	MS46_2.00	AT1G22190	RAP2-13	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	At4g28140_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000412_2.00	F009_2.00	TS12_2.00	M06648_2.00	MS46_2.00	AT1G22190	RAP2-13	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	At4g28140_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000412_2.00	F009_2.00	TS12_2.00	M06686_2.00	MS46_2.00	AT1G22190	RAP2-13	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	At5g65130_col_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000412_2.00	F009_2.00	TS12_2.00	M06687_2.00	MS46_2.00	AT1G22190	RAP2-13	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	At5g65130_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000413_2.00	F009_2.00	TS12_2.00	M01092_2.00	MS57_2.00	AT1G22810	ERF019	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	pTH11534	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000413_2.00	F009_2.00	TS12_2.00	M06571_2.00	MS46_2.00	AT1G22810	ERF019	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	At1g22810_colamp_a	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000413_2.00	F009_2.00	TS12_2.00	M06572_2.00	MS46_2.00	AT1G22810	ERF019	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	At1g22810_col	Dap-seq	OMalley2016	Dap-seq	OMalley	2016	27203113	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000414_2.00	F009_2.00	TS12_2.00	M01604_2.00	MS64_2.00	AT1G22985	ERF069	Arabidopsis_thaliana	D	AP2	AP2	1	0.6765891324647211	pTH7550	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000415_2.00	F009_2.00	TS12_2.00	M00719_2.00	MS11_2.00	AT1G24590	ESR2	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH7227	PBM	Chang2013	PBM	Chang	2013	23795294	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000415_2.00	F009_2.00	TS12_2.00	M00847_2.00	MS21_2.00	AT1G24590	ESR2	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	RAP2.3	PBM	Franco_Zorrilla2014	PBM	Franco-Zorrilla	2014	24477691	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000415_2.00	F009_2.00	TS12_2.00	M01045_2.00	MS56_2.00	AT1G24590	ESR2	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH9793	PBM	Stam_Arabidopsis	PBM	Sullivan	2014	25220462	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000415_2.00	F009_2.00	TS12_2.00	M01050_2.00	MS56_2.00	AT1G24590	ESR2	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH8811	PBM	Stam_Arabidopsis	PBM	Sullivan	2014	25220462	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000415_2.00	F009_2.00	TS12_2.00	M01100_2.00	MS57_2.00	AT1G24590	ESR2	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH10138	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000415_2.00	F009_2.00	TS12_2.00	M01608_2.00	MS64_2.00	AT1G24590	ESR2	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH8095	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000415_2.00	F009_2.00	TS12_2.00	M01613_2.00	MS64_2.00	AT1G24590	ESR2	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH7543	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000415_2.00	F009_2.00	TS12_2.00	M01616_2.00	MS64_2.00	AT1G24590	ESR2	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH8156	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000415_2.00	F009_2.00	TS12_2.00	M01617_2.00	MS64_2.00	AT1G24590	ESR2	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH7606	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000415_2.00	F009_2.00	TS12_2.00	M01619_2.00	MS64_2.00	AT1G24590	ESR2	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH8795	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000415_2.00	F009_2.00	TS12_2.00	M01630_2.00	MS64_2.00	AT1G24590	ESR2	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH7909	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000415_2.00	F009_2.00	TS12_2.00	M01632_2.00	MS64_2.00	AT1G24590	ESR2	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH7233	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000415_2.00	F009_2.00	TS12_2.00	M01634_2.00	MS64_2.00	AT1G24590	ESR2	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH8596	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T000415_2.00	F009_2.00	TS12_2.00	M01643_2.00	MS64_2.00	AT1G24590	ESR2	Arabidopsis_thaliana	I	AP2	AP2	1	0.6765891324647211	pTH9609	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
